1 = 323
1 = frerf
7 = Алевтин Колодуб
8 = Руслан Самойленко
9 = Станіслав Шелест
10 = Мілена Кащенко
11 = Еріка Ісаєвич
12 = Едуард Чарниш
13 = Альбіна Уманець
14 = Леонтій Вакуленко
15 = Пармен Баклан
16 = Станіслав Оліфіренко
17 = Микита Гайдай
18 = Єлисавета Коваленко
19 = пан Омелян Шаповал
20 = Михайлина Пелех
21 = Михайлина Оліфіренко
22 = Аркадій Пилипенко
23 = Анастасія Сиротенко
24 = Андрій Шухевич
25 = Альбіна Тягнибок
1 = Мирослав Рудик
2 = Едита Корбут
3 = Георгій Дараган
4 = Орест Артюх
5 = Роман Абрагамовський
6 = Тереза Шморгун
7 = Олесь Верес
8 = Святослав Сімашкевич
9 = Сніжана Сацюк
10 = Борис Мазепа
11 = Ганна Яремків
12 = Ігор Орлик
13 = Ілля Тимчук
14 = Станіслав Гавриленко
15 = Емілія Оберемко
16 = пані Орина Гайденко
17 = Мартин Акименко
18 = Соломія Тимченко
19 = пані Едита Панчук
20 = Тереза Єременко
21 = пані Марина Забара
22 = Стефан Вахній
23 = Микита Дуплій
24 = пані Камілла Щириця
25 = Назар Архимович
1 = Федір Акуленко
2 = Мартин Абрамчук
3 = Устим Батіг
4 = Валентин Кармалюк
5 = Святослава Бараник
6 = Олег Кабалюк
7 = Емілія Рябченко
8 = Альбіна Конопленко
9 = Климент Скоробогатько
10 = Юхим Тягнибок
11 = Софія Шеремета
12 = Мілена Журавель
13 = Назар Симоненко
14 = пан Орхип Сиротенко
15 = пан Хома Байда
16 = Людмила Яценюк
17 = Ліза Онищенко
18 = Олена Христич
19 = Демʼян Ященко
20 = Леонтій Бабій
21 = Симон Салій
22 = Дмитро Журба
23 = пані Розалія Атаманюк
24 = Назар Яковенко
25 = Богданна Забара
1 = пані Богуслава Савенко
2 = Богодар Журба
3 = Петро Бгиденко
4 = Оксенія Вишняк
5 = Маруся Шиян
6 = Антон Палій
7 = Соломія Штокало
8 = Азар Овчаренко
9 = Онисим Абраменко
10 = Франц Шутько
11 = Панас Давиденко
12 = Теодор Комар
13 = Зиновій Вахній
14 = Мирон Атаманчук
15 = Вікторія Заїка
16 = Стефан Яремко
17 = Ліза Голобородько
18 = Микита Бандурка
19 = Нестор Андрейко
20 = Орися Атаманчук
21 = Данило Чайка
22 = Гаврило Давимука
23 = Марʼяна Талан
24 = Любов Захарченко
25 = Теодор Олійник
1 = Ярослав Байрак
2 = Соломон Радченко
3 = Ада Теличенко
4 = Богуслава Франчук
5 = Єва Швачка
6 = Клавдія Чалий
7 = Ганна Баран
8 = Камілла Кабаненко
9 = Мілена Козак
10 = Одарка Ребрик
11 = Пріска Закусило
12 = Семен Ісаєнко
13 = Роман Цушко
14 = Нестор Зінченко
15 = Святослав Батуринець
16 = Ліза Штепа
17 = Орина Зарудний
18 = Маруся Талан
19 = Валентина Іваничук
20 = Володимира Василечко
21 = Любов Засядько
22 = Орися Андрійович
23 = пані Любов Овсієнко
24 = Розалія Голик
25 = Тимофій Дейсун
1 = Віталій Височан
2 = Трохим Даниленко
3 = Василь Тесленко
4 = Онисим Швачко
5 = Людмила Худяк
6 = Веніямин Закусило
7 = Зиновій Гунько
8 = Христина Запорожець
9 = Соломія Акуленко
10 = Емілія Литвин
11 = Святослав Лесик
12 = Марта Талан
13 = Ірена Ільченко
14 = Клавдія Засуха
15 = Устим Верменич
16 = Оксенія Їжакевич
17 = Ада Іванченко
18 = Дан Демʼянчук
19 = пані Святослава Дахно
20 = Юстим Приймак
21 = Златослава Гаврилець
22 = Соломон Валенко
23 = Дан Медведенко
24 = Остап Артимович
25 = Назар Приходько
1 = Орхип Мазур
2 = Орина Авраменко
3 = пані Соломія Ткаченко
4 = Єфрем Рубець
5 = Макар Опанасенко
6 = Зиновій Романчук
7 = Симон Захарченко
8 = Зиновій Верменич
9 = Олександр Мазур
10 = Теодор Іванченко
11 = Данило Іваненко
12 = Віталій Дубина
13 = Орхип Ващенко
14 = Оксенія Архимович
15 = Ганна Овчаренко
16 = Остап Вишняк
17 = Амалія Абрагамовський
18 = пані Марта Байдак
19 = пані Христина Франко
20 = Гліб Закусило
21 = Микита Короленко
22 = Камілла Тягнибок
23 = Софія Гриценко
24 = пан Пилип Орлик
25 = Адам Гоголь
1 = пані Софія Колесниченко
2 = Дарина Адаменко
3 = Лілія Бабенко
4 = Орхип Сацюк
5 = Марко Гаврилів
6 = Стефан Тарасенко
7 = Алевтин Малик
8 = Прохір Балабан
9 = Розалія Лисенко
10 = Марта Оліфіренко
11 = Камілла Ковалюк
12 = Устим Корж
13 = Анжела Лагода
14 = Дан Самойленко
15 = Святослав Захаренко
16 = пані Марʼяна Тесля
17 = Ігнат Товстоліс
18 = Августин Теличенко
19 = Євген Носаченко
20 = Охрім Товстуха
21 = Стефан Забарний
22 = Святослава Кащенко
23 = Аврелій Височан
24 = Маруся Чубай
25 = Нестор Павлик
1 = Данна Забара
2 = Нестор Удовиченко
3 = Симон Рудько
4 = Анастасія Акуленко
5 = Альбіна Скиба
6 = Олена Бабʼяк
7 = пані Лариса Рубан
8 = Юхим Міщенко
9 = Орися Саченко
10 = Назар Сич
11 = пані Оксана Бабʼяк
12 = Анжела Саченко
13 = Надія Савенко
14 = пан Трохим Юрчишин
15 = Лесь Рудик
16 = Єва Петрик
17 = Тереза Євдокименко
18 = Дмитро Гук
19 = Еріка Гавриленко
20 = пан Ілля Козаченко
21 = пані Амалія Лавренко
22 = Дан Базавлученко
23 = Анжела Ващенко
24 = Юстина Вітер
25 = Євген Колесниченко
1 = Феофан Батюк
2 = Любов Ейбоженко
3 = Борис Андрієнко
4 = Данна Данильчук
5 = пан Соломон Сомко
6 = Варвара Архимович
7 = Віра Мазур
8 = Аліна Єрошенко
9 = Ганна Цушко
10 = Марко Шеремета
11 = Розалія Джунь
12 = Аліна Гречаник
13 = Онисим Скоробогатько
14 = Юхим Шиян
15 = Трохим Демиденко
16 = Амвросій Носаченко
17 = Світлана Тихий
18 = Максим Гречко
19 = Наталія Шинкаренко
20 = Пилип Пʼятаченко
21 = пані Галина Жученко
22 = Вікторія Чалий
23 = Оксана Тягнибок
24 = Ярослав Терещук
25 = Володимира Бебешко
1 = Лариса Затовканюк
2 = Лариса Козак
3 = пані Мілена Акуленко
4 = Софія Батуринець
5 = Левко Забашта
6 = Йосип Швачка
7 = Устим Парасюк
8 = Степан Панчук
9 = Симон Голик
10 = Василь Макогон
11 = пан Вʼячеслав Канівець
12 = пан Нестор Андрусенко
13 = Тимофій Михайлюк
14 = Вікторія Негода
15 = Гліб Тимчук
16 = пан Аврелій Масоха
17 = Юстина Чміль
18 = Алла Дашенко
19 = Орхип Микитюк
20 = Клавдія Верховинець
21 = Михайлина Данильчук
22 = Ростислав Ґерета
23 = Віолетта Бабариченко
24 = Павло Ващенко
25 = Тетяна Конопля
1 = Сніжана Величко
2 = Аркадій Бабʼяк
3 = Анастасія Литвин
4 = Мілена Швайка
5 = Оксенія Стельмах
6 = Тарас Харченко
7 = Єва Приходько
8 = Тетяна Гук
9 = Валентин Яременко
10 = Федір Худобʼяк
11 = Вікторія Іваничук
12 = Єва Гайденко
13 = Августин Сич
14 = Варфоломій Ніколюк
15 = Гліб Дубенко
16 = Єва Сацюк
17 = Станіслав Гуцуляк
18 = Ірена Гаврилець
19 = Оксана Козаченко
20 = Пармен Дашенко
21 = Соломія Данчук
22 = Камілла Гайденко
23 = Ярема Романенко
24 = Дан Мірошниченко
25 = Єфрем Базавлученко
1 = Єва Заєць
2 = Михайлина Ґереґа
3 = Марія Пушкар
4 = Алла Малишко
5 = Пилип Ящук
6 = Софія Журавель
7 = Яків Бабариченко
8 = Яків Журавель
9 = Марія Колісниченко
10 = Оксенія Скирда
11 = Ірина Лемешко
12 = Борис Євтушенко
13 = Франц Терещук
14 = Єлисей Верховинець
15 = пані Соломія Захаренко
16 = Альбіна Юрчишин
17 = Варвара Єрьоменко
18 = Еріка Артимишин
19 = Альбіна Ільченко
20 = Назар Дерегус
21 = Зорян Ісаєвич
22 = Любов Жученко
23 = Максим Ажажа
24 = Адам Матяш
25 = Дарина Малик
1 = Наталія Бабариченко
2 = Володимира Дрозденко
3 = Христина Башполченко
4 = Амвросій Аверченко
5 = Данна Джус
6 = Юстим Теліженко
7 = Едита Дутка
8 = Анастасія Карпа
9 = Ольга Ященко
10 = Одарка Свистун
11 = пан Гліб Бакуменко
12 = пан Євген Онищенко
13 = пан Антон Непорожній
14 = Ада Рябошапка
15 = Ольга Тригуб
16 = Олекса Даниленко
17 = Мирослав Фастенко
18 = Антон Захаренко
19 = пані Михайлина Сиротенко
20 = пані Аніта Орлик
21 = Людмила Ґерус
22 = Валерій Іванченко
23 = Устим Шеремет
24 = Ярослав Башполченко
25 = Марія Рябовіл
1 = Прохір Андрієвич
2 = Дмитро Пушкар
3 = Богданна Забарний
4 = Альбіна Лесик
5 = Юстина Корпанюк
6 = Ярослав Ільєнко
7 = Маруся Онуфрієнко
8 = Ганна Карпа
9 = Микита Шутько
10 = Тереза Баран
11 = Антон Овчаренко
12 = пані Одарка Петренко
13 = Назар Ільченко
14 = пан Тарас Матяш
15 = Володимира Дзиндра
16 = Клавдія Байдак
17 = Борис Скирда
18 = Юстим Микитюк
19 = Орина Нестеренко
20 = Олена Юхименко
21 = пані Ольга Сіробаба
22 = Ігор Хоменко
23 = Одарка Оробець
24 = Марина Даниленко
25 = Орися Гуцуляк
1 = Михайло Шморгун
2 = Олена Карпенко
3 = Вʼячеслав Червоненко
4 = Максим Бабко
5 = Пантелеймон Гунько
6 = Мілена Вдовиченко
7 = пані Наталія Парасюк
8 = Лілія Примаченко
9 = Святослава Стус
10 = Болеслав Шведченко
11 = Камілла Карпа
12 = Орхип Шахрай
13 = пан Макар Туркало
14 = Златослава Ейбоженко
15 = Емілія Ващенко-Захарченко
16 = Павло Килимник
17 = Ольга Андрейко
18 = Лілія Штепа
19 = Роксолана Бабʼюк
20 = Трохим Черненко
21 = Мартин Зубко
22 = Олег Уманець
23 = Камілла Ірванець
24 = Камілла Жадан
25 = Артем Токар
1 = Амвросій Ющенко
2 = Еріка Батюк
3 = Мирослав Чміль
4 = Зорян Іщенко
5 = Віталій Щербак
6 = Марко Тесля
7 = пан Ярослав Батіг
8 = Юстим Данилюк
9 = Ярослав Барабаш
10 = Кирило Опанасенко
11 = Орхип Нестайко
12 = Ярослава Шутько
13 = Зиновій Сагаль
14 = Веніямин Петлюра
15 = Азар Масоха
16 = Ростислав Давимука
17 = Розалія Конопля
18 = Пріска Кармалюк
19 = Світлана Андрійчук
20 = Данило Стець
21 = Аліна Чубай
22 = Аліна Баранник
23 = Єфрем Бевз
24 = Аліна Єсипенко
25 = Анжела Яремко
1 = Ада Михайлюк
2 = Богуслава Деряжний
3 = Веніямин Ткаченко
4 = Марʼяна Масляк
5 = Арсен Батіг
6 = Ольга Іваненко
7 = Прохір Шило
8 = пані Марина Чайка
9 = Златослава Ґжицький
10 = Демʼян Байдак
11 = Оксенія Бабійчук
12 = Адам Влох
13 = Богодар Бабак
14 = Камілла Товстоліс
15 = Роксолана Верхола
16 = Святослава Безбородько
17 = Михайло Михалюк
18 = Арсен Ярема
19 = Гордій Воблий
20 = Олег Сірченко
21 = Хома Охріменко
22 = Захар Воблий
23 = Охрім Гайдамака
24 = Ганна Гавриш
25 = Людмила Ґоляш
1 = Гліб Нестеренко
2 = Леонтій Василечко
3 = Веніямин Петлюра
4 = Богуслава Полтавець
5 = Гліб Євтушок
6 = пані Любов Скорик
7 = Леонід Дробʼязко
8 = Устим Вівчаренко
9 = Петро Байдак
10 = Дарина Христенко
11 = Хома Терещук
12 = Кирило Проценко
13 = Любов Фесенко
14 = Тарас Єфименко
15 = Ліза Захарченко
16 = Онисим Абраменко
17 = Аніта Ярош
18 = Федір Перебийніс
19 = Арсен Шевченко
20 = Віра Дзюба
21 = Михайлина Атаманюк
22 = Миколай Андрієвич
23 = Миколай Токар
24 = Аліна Ляшко
25 = Лесь Байдак
1 = Святослава Дашкевич
2 = Едита Андріїшин
3 = Венедикт Андрійчук
4 = Прохір Василенко
5 = Лілія Петлюра
6 = Віра Вернигора
7 = Віра Чумаченко
8 = Софія Карась
9 = Юстим Чайка
10 = Ада Рябовіл
11 = пан Йосип Пушкар
12 = Тетяна Андрощук
13 = пані Віра Лавренко
14 = Аліна Засуха
15 = Соломія Удовенко
16 = Опанас Гайдамака
17 = Клавдія Дараган
18 = Стефан Василенко
19 = Гаврило Корбут
20 = Ірина Тихий
21 = Сніжана Литвиненко
22 = пані Оксенія Бевзенко
23 = Захар Дрозд
24 = Зорян Верменич
25 = Варвара Микитюк
